League,Offensive W_Average,Defensive W_Average
Bundesliga,85.58800387405985,83.71157800713665
Bundesliga_topTeam,157.29234778014865,50.3048863198813
EPL,100.6749837427397,98.72920997965433
EPL_topTeam,167.35079678181842,67.49872330352132
La_liga,89.3792751470292,87.3324847339517
La_liga_topTeam,177.08701996120982,65.88529874387187
Ligue_1,74.66838470590415,72.96388308995792
Ligue_1_topTeam,147.07962639551107,53.57143167061618
Serie_A,93.96046676044277,91.96074649981043
Serie_A_topTeam,117.83616783240805,58.02792095973305
